player,season_end,championship,finals_appearance,conf_finals,playoff_round_score,best_player_title,finals_mvp
Ariel Hukporti,2026,1,1,1,100,0,0
Jalen Brunson,2026,1,1,1,100,1,1
Jeremy Sochan,2026,1,1,1,100,0,0
Jordan Clarkson,2026,1,1,1,100,0,0
Jose Alvarado,2026,1,1,1,100,0,0
Josh Hart,2026,1,1,1,100,0,0
Karl-Anthony Towns,2026,1,1,1,100,0,0
Landry Shamet,2026,1,1,1,100,0,0
Mikal Bridges,2026,1,1,1,100,0,0
Miles McBride,2026,1,1,1,100,0,0
Mitchell Robinson,2026,1,1,1,100,0,0
Mohamed Diawara,2026,1,1,1,100,0,0
OG Anunoby,2026,1,1,1,100,0,0
Pacome Dadiet,2026,1,1,1,100,0,0
Tyler Kolek,2026,1,1,1,100,0,0
